"Load Name","PTID","Subzone","Zone"
"ENRGYEVT_VS_MOHAWKVY",987563,"CENT HUD MOHAWK VLY","MHK VL"
"ENRGYEVT_VS_NORTH",985563,"NMPC NORTH","NORTH"
"ENRGYEVT_VS_NY-CITY",997563,"CON ED NY CITY","N.Y.C."
"ENRGYEVT_VS_WEST",979563,"NMPC WEST","WEST"
"ENRON-ES_CE_DUNWOODI",109298,"CON ED DUNWOODIE","DUNWOD"
"ENRON-ES_CE_MILLWOOD",108298,"CON ED MILLWOOD","MILLWD"
"ENRON-ES_CE_NY-CITY",110298,"CON ED NY CITY","N.Y.C."
"ENRONVT__VL__CAPITAL",988311,"NMPC CAPITAL","CAPITL"
"ENRONVT__VL__CENTRAL",982311,"NMPC CENTRAL","CENTRL"
"ENRONVT__VL__DUNWOODIE",994311,"CON ED DUNWOODIE","DUNWOD"
"ENRONVT__VL__GENESEE",980311,"NMPC GENESEE","GENESE"
"ENRONVT__VL__HUDSON VLY",990311,"NYSEG HUDSON VLY","HUD VL"
"ENRONVT__VL__LONG-ISL",998311,"LIPA LONG ISLAND","LONGIL"
"ENRONVT__VL__MILLWOOD",992311,"NYSEG MILLWOOD","MILLWD"
"ENRONVT__VL__MOHAWK VLY",986311,"NYSEG MOHAWK VLY","MHK VL"
"ENRONVT__VL__NORTH",984311,"NMPC NORTH","NORTH"
"ENRONVT__VL__NY-CITY",996311,"CON ED NY CITY","N.Y.C."
"ENRONVT__VL__WEST",978311,"NMPC WEST","WEST"
"ENRONVT__VS__CAPITAL",989311,"NMPC CAPITAL","CAPITL"
"ENRONVT__VS__CENTRAL",983311,"NMPC CENTRAL","CENTRL"
"ENRONVT__VS__DUNWOODIE",995311,"CON ED DUNWOODIE","DUNWOD"
"ENRONVT__VS__GENESEE",981311,"NMPC GENESEE","GENESE"
"ENRONVT__VS__HUDSON VLY",991311,"NYSEG HUDSON VLY","HUD VL"
"ENRONVT__VS__LONG-ISL",999311,"LIPA LONG ISLAND","LONGIL"
"ENRONVT__VS__MILLWOOD",993311,"NYSEG MILLWOOD","MILLWD"
"ENRONVT__VS__MOHAWK VLY",987311,"NYSEG MOHAWK VLY","MHK VL"
"ENRONVT__VS__NORTH",985311,"NMPC NORTH","NORTH"
"ENRONVT__VS__NY-CITY",997311,"CON ED NY CITY","N.Y.C."
"ENRONVT__VS__WEST",979311,"NMPC WEST","WEST"
"ENSPECVT_VL_CAPITAL",988522,"NMPC CAPITAL","CAPITL"
"ENSPECVT_VL_CENTRAL",982522,"NMPC CENTRAL","CENTRL"
"ENSPECVT_VL_DUNWOODI",994522,"CON ED DUNWOODIE","DUNWOD"
"ENSPECVT_VL_GENESEE",980522,"NMPC GENESEE","GENESE"
"ENSPECVT_VL_HUDSONVY",990522,"NYSEG HUDSON VLY","HUD VL"
"ENSPECVT_VL_LONG-ISL",998522,"LIPA LONG ISLAND","LONGIL"
"ENSPECVT_VL_MILLWOOD",992522,"NYSEG MILLWOOD","MILLWD"
"ENSPECVT_VL_MOHAWKVY",986522,"NMPC MOHAWK VLY","MHK VL"
"ENSPECVT_VL_NORTH",984522,"NMPC NORTH","NORTH"
"ENSPECVT_VL_NY-CITY",996522,"CON ED NY CITY","N.Y.C."
"ENSPECVT_VL_WEST",978522,"NMPC WEST","WEST"
"ENSPECVT_VS_CAPITAL",989522,"NMPC CAPITAL","CAPITL"
"ENSPECVT_VS_CENTRAL",983522,"NMPC CENTRAL","CENTRL"
"ENSPECVT_VS_DUNWOODI",995522,"CON ED DUNWOODIE","DUNWOD"
"ENSPECVT_VS_GENESEE",981522,"NMPC GENESEE","GENESE"
"ENSPECVT_VS_HUDSONVY",991522,"NYSEG HUDSON VLY","HUD VL"
"ENSPECVT_VS_LONG-ISL",999522,"LIPA LONG ISLAND","LONGIL"
"ENSPECVT_VS_MILLWOOD",993522,"NYSEG MILLWOOD","MILLWD"
