"Time Stamp","Time Zone","Name","PTID","Load"
"11/25/2017 00:00:00","EST","CAPITL",61757,1128.1
"11/25/2017 00:00:00","EST","CENTRL",61754,1499.7
"11/25/2017 00:00:00","EST","DUNWOD",61760,576.4
"11/25/2017 00:00:00","EST","GENESE",61753,869.3
"11/25/2017 00:00:00","EST","HUD VL",61758,1010.2
"11/25/2017 00:00:00","EST","LONGIL",61762,1905.1
"11/25/2017 00:00:00","EST","MHK VL",61756,758.8
"11/25/2017 00:00:00","EST","MILLWD",61759,251.8
"11/25/2017 00:00:00","EST","N.Y.C.",61761,4783
"11/25/2017 00:00:00","EST","NORTH",61755,489.8
"11/25/2017 00:00:00","EST","WEST",61752,1485.3
"11/25/2017 00:05:00","EST","CAPITL",61757,1121.6
"11/25/2017 00:05:00","EST","CENTRL",61754,1499.3
"11/25/2017 00:05:00","EST","DUNWOD",61760,567.9
"11/25/2017 00:05:00","EST","GENESE",61753,872.3
"11/25/2017 00:05:00","EST","HUD VL",61758,996.8
"11/25/2017 00:05:00","EST","LONGIL",61762,1874.5
"11/25/2017 00:05:00","EST","MHK VL",61756,750.6
"11/25/2017 00:05:00","EST","MILLWD",61759,253.6
"11/25/2017 00:05:00","EST","N.Y.C.",61761,4742
"11/25/2017 00:05:00","EST","NORTH",61755,496.8
"11/25/2017 00:05:00","EST","WEST",61752,1476
"11/25/2017 00:10:00","EST","CAPITL",61757,1108.1
"11/25/2017 00:10:00","EST","CENTRL",61754,1494.7
"11/25/2017 00:10:00","EST","DUNWOD",61760,562.5
"11/25/2017 00:10:00","EST","GENESE",61753,866.2
"11/25/2017 00:10:00","EST","HUD VL",61758,982.6
"11/25/2017 00:10:00","EST","LONGIL",61762,1854.5
"11/25/2017 00:10:00","EST","MHK VL",61756,727
"11/25/2017 00:10:00","EST","MILLWD",61759,253.3
"11/25/2017 00:10:00","EST","N.Y.C.",61761,4718.6
"11/25/2017 00:10:00","EST","NORTH",61755,496.1
"11/25/2017 00:10:00","EST","WEST",61752,1476.9
"11/25/2017 00:15:00","EST","CAPITL",61757,1100.4
"11/25/2017 00:15:00","EST","CENTRL",61754,1500.1
"11/25/2017 00:15:00","EST","DUNWOD",61760,587.2
"11/25/2017 00:15:00","EST","GENESE",61753,856.3
"11/25/2017 00:15:00","EST","HUD VL",61758,985.7
"11/25/2017 00:15:00","EST","LONGIL",61762,1841.9
"11/25/2017 00:15:00","EST","MHK VL",61756,728.4
"11/25/2017 00:15:00","EST","MILLWD",61759,254.6
"11/25/2017 00:15:00","EST","N.Y.C.",61761,4675.7
"11/25/2017 00:15:00","EST","NORTH",61755,497.2
"11/25/2017 00:15:00","EST","WEST",61752,1483.7
"11/25/2017 00:20:00","EST","CAPITL",61757,1104.9
"11/25/2017 00:20:00","EST","CENTRL",61754,1447.2
"11/25/2017 00:20:00","EST","DUNWOD",61760,584.3
"11/25/2017 00:20:00","EST","GENESE",61753,855.7
"11/25/2017 00:20:00","EST","HUD VL",61758,978.1
"11/25/2017 00:20:00","EST","LONGIL",61762,1846.5
"11/25/2017 00:20:00","EST","MHK VL",61756,731
"11/25/2017 00:20:00","EST","MILLWD",61759,257.6
"11/25/2017 00:20:00","EST","N.Y.C.",61761,4652.6
"11/25/2017 00:20:00","EST","NORTH",61755,492.9
"11/25/2017 00:20:00","EST","WEST",61752,1463.5
"11/25/2017 00:25:00","EST","CAPITL",61757,1100.3
"11/25/2017 00:25:00","EST","CENTRL",61754,1469.3
"11/25/2017 00:25:00","EST","DUNWOD",61760,583.7
"11/25/2017 00:25:00","EST","GENESE",61753,850.7
"11/25/2017 00:25:00","EST","HUD VL",61758,974.4
"11/25/2017 00:25:00","EST","LONGIL",61762,1844.2
"11/25/2017 00:25:00","EST","MHK VL",61756,719.3
"11/25/2017 00:25:00","EST","MILLWD",61759,256
"11/25/2017 00:25:00","EST","N.Y.C.",61761,4638.4
"11/25/2017 00:25:00","EST","NORTH",61755,489.4
"11/25/2017 00:25:00","EST","WEST",61752,1462.3
"11/25/2017 00:30:00","EST","CAPITL",61757,1103.7
"11/25/2017 00:30:00","EST","CENTRL",61754,1476.7
