"Time Stamp","Time Zone","Name","PTID","Load"
"01/12/2017 00:00:00","EST","CAPITL",61757,1142.2
"01/12/2017 00:00:00","EST","CENTRL",61754,1591
"01/12/2017 00:00:00","EST","DUNWOD",61760,580.1
"01/12/2017 00:00:00","EST","GENESE",61753,963
"01/12/2017 00:00:00","EST","HUD VL",61758,927.7
"01/12/2017 00:00:00","EST","LONGIL",61762,1926.9
"01/12/2017 00:00:00","EST","MHK VL",61756,835.2
"01/12/2017 00:00:00","EST","MILLWD",61759,292.6
"01/12/2017 00:00:00","EST","N.Y.C.",61761,5047.6
"01/12/2017 00:00:00","EST","NORTH",61755,499.1
"01/12/2017 00:00:00","EST","WEST",61752,1548.7
"01/12/2017 00:05:00","EST","CAPITL",61757,1142.3
"01/12/2017 00:05:00","EST","CENTRL",61754,1587.5
"01/12/2017 00:05:00","EST","DUNWOD",61760,586.9
"01/12/2017 00:05:00","EST","GENESE",61753,954.6
"01/12/2017 00:05:00","EST","HUD VL",61758,951.2
"01/12/2017 00:05:00","EST","LONGIL",61762,1905.6
"01/12/2017 00:05:00","EST","MHK VL",61756,820.8
"01/12/2017 00:05:00","EST","MILLWD",61759,280
"01/12/2017 00:05:00","EST","N.Y.C.",61761,5014.6
"01/12/2017 00:05:00","EST","NORTH",61755,488.4
"01/12/2017 00:05:00","EST","WEST",61752,1530.9
"01/12/2017 00:10:00","EST","CAPITL",61757,1116.7
"01/12/2017 00:10:00","EST","CENTRL",61754,1573.3
"01/12/2017 00:10:00","EST","DUNWOD",61760,614.7
"01/12/2017 00:10:00","EST","GENESE",61753,952.1
"01/12/2017 00:10:00","EST","HUD VL",61758,928.9
"01/12/2017 00:10:00","EST","LONGIL",61762,1908
"01/12/2017 00:10:00","EST","MHK VL",61756,815.4
"01/12/2017 00:10:00","EST","MILLWD",61759,275.6
"01/12/2017 00:10:00","EST","N.Y.C.",61761,5023.1
"01/12/2017 00:10:00","EST","NORTH",61755,493.6
"01/12/2017 00:10:00","EST","WEST",61752,1535.6
"01/12/2017 00:15:00","EST","CAPITL",61757,1118.9
"01/12/2017 00:15:00","EST","CENTRL",61754,1581.3
"01/12/2017 00:15:00","EST","DUNWOD",61760,560.7
"01/12/2017 00:15:00","EST","GENESE",61753,947.7
"01/12/2017 00:15:00","EST","HUD VL",61758,915.2
"01/12/2017 00:15:00","EST","LONGIL",61762,1892
"01/12/2017 00:15:00","EST","MHK VL",61756,806.4
"01/12/2017 00:15:00","EST","MILLWD",61759,268.2
"01/12/2017 00:15:00","EST","N.Y.C.",61761,4959.6
"01/12/2017 00:15:00","EST","NORTH",61755,496.6
"01/12/2017 00:15:00","EST","WEST",61752,1506.4
"01/12/2017 00:20:00","EST","CAPITL",61757,1127.4
"01/12/2017 00:20:00","EST","CENTRL",61754,1587.6
"01/12/2017 00:20:00","EST","DUNWOD",61760,554.4
"01/12/2017 00:20:00","EST","GENESE",61753,947.3
"01/12/2017 00:20:00","EST","HUD VL",61758,910.9
"01/12/2017 00:20:00","EST","LONGIL",61762,1872.1
"01/12/2017 00:20:00","EST","MHK VL",61756,796.4
"01/12/2017 00:20:00","EST","MILLWD",61759,278.3
"01/12/2017 00:20:00","EST","N.Y.C.",61761,4925.4
"01/12/2017 00:20:00","EST","NORTH",61755,501.9
"01/12/2017 00:20:00","EST","WEST",61752,1522.2
"01/12/2017 00:25:00","EST","CAPITL",61757,1105.9
"01/12/2017 00:25:00","EST","CENTRL",61754,1571.3
"01/12/2017 00:25:00","EST","DUNWOD",61760,551.3
"01/12/2017 00:25:00","EST","GENESE",61753,945.5
"01/12/2017 00:25:00","EST","HUD VL",61758,886.5
"01/12/2017 00:25:00","EST","LONGIL",61762,1868.3
"01/12/2017 00:25:00","EST","MHK VL",61756,814.3
"01/12/2017 00:25:00","EST","MILLWD",61759,279.2
"01/12/2017 00:25:00","EST","N.Y.C.",61761,4905.3
"01/12/2017 00:25:00","EST","NORTH",61755,490.2
"01/12/2017 00:25:00","EST","WEST",61752,1495.3
"01/12/2017 00:30:00","EST","CAPITL",61757,1089.4
"01/12/2017 00:30:00","EST","CENTRL",61754,1615.5
"01/12/2017 00:30:00","EST","DUNWOD",61760,556.1
"01/12/2017 00:30:00","EST","GENESE",61753,940.1
"01/12/2017 00:30:00","EST","HUD VL",61758,900.1
"01/12/2017 00:30:00","EST","LONGIL",61762,1857.4
"01/12/2017 00:30:00","EST","MHK VL",61756,803.6
"01/12/2017 00:30:00","EST","MILLWD",61759,270
"01/12/2017 00:30:00","EST","N.Y.C.",61761,4895.7
"01/12/2017 00:30:00","EST","NORTH",61755,487.7
"01/12/2017 00:30:00","EST","WEST",61752,1525.8
"01/12/2017 00:35:00","EST","CAPITL",61757,1104.9
"01/12/2017 00:35:00","EST","CENTRL",61754,1615.2
"01/12/2017 00:35:00","EST","DUNWOD",61760,541.1
"01/12/2017 00:35:00","EST","GENESE",61753,934.1
"01/12/2017 00:35:00","EST","HUD VL",61758,901.9
"01/12/2017 00:35:00","EST","LONGIL",61762,1875.1
"01/12/2017 00:35:00","EST","MHK VL",61756,801.3
"01/12/2017 00:35:00","EST","MILLWD",61759,277.4
"01/12/2017 00:35:00","EST","N.Y.C.",61761,4804.1
"01/12/2017 00:35:00","EST","NORTH",61755,503.3
"01/12/2017 00:35:00","EST","WEST",61752,1510.1
"01/12/2017 00:40:00","EST","CAPITL",61757,1100
"01/12/2017 00:40:00","EST","CENTRL",61754,1594.1
"01/12/2017 00:40:00","EST","DUNWOD",61760,547.5
"01/12/2017 00:40:00","EST","GENESE",61753,931.2
"01/12/2017 00:40:00","EST","HUD VL",61758,868.2
"01/12/2017 00:40:00","EST","LONGIL",61762,1838.9
"01/12/2017 00:40:00","EST","MHK VL",61756,806.5
"01/12/2017 00:40:00","EST","MILLWD",61759,281.7
"01/12/2017 00:40:00","EST","N.Y.C.",61761,4802.1
"01/12/2017 00:40:00","EST","NORTH",61755,493.5
"01/12/2017 00:40:00","EST","WEST",61752,1494.7
"01/12/2017 00:45:00","EST","CAPITL",61757,1098.6
"01/12/2017 00:45:00","EST","CENTRL",61754,1549.7
"01/12/2017 00:45:00","EST","DUNWOD",61760,543.2
"01/12/2017 00:45:00","EST","GENESE",61753,929.2
"01/12/2017 00:45:00","EST","HUD VL",61758,878.2
"01/12/2017 00:45:00","EST","LONGIL",61762,1835
"01/12/2017 00:45:00","EST","MHK VL",61756,797.7
"01/12/2017 00:45:00","EST","MILLWD",61759,270.3
"01/12/2017 00:45:00","EST","N.Y.C.",61761,4786
"01/12/2017 00:45:00","EST","NORTH",61755,489.5
"01/12/2017 00:45:00","EST","WEST",61752,1487
"01/12/2017 00:50:00","EST","CAPITL",61757,1102.6
"01/12/2017 00:50:00","EST","CENTRL",61754,1596.5
"01/12/2017 00:50:00","EST","DUNWOD",61760,539.6
"01/12/2017 00:50:00","EST","GENESE",61753,918.7
"01/12/2017 00:50:00","EST","HUD VL",61758,890.7
"01/12/2017 00:50:00","EST","LONGIL",61762,1820
"01/12/2017 00:50:00","EST","MHK VL",61756,791.9
"01/12/2017 00:50:00","EST","MILLWD",61759,257.1
"01/12/2017 00:50:00","EST","N.Y.C.",61761,4766.6
"01/12/2017 00:50:00","EST","NORTH",61755,489.5
"01/12/2017 00:50:00","EST","WEST",61752,1472.9
"01/12/2017 00:55:00","EST","CAPITL",61757,1096.4
"01/12/2017 00:55:00","EST","CENTRL",61754,1609.3
"01/12/2017 00:55:00","EST","DUNWOD",61760,539.5
"01/12/2017 00:55:00","EST","GENESE",61753,912.9
"01/12/2017 00:55:00","EST","HUD VL",61758,878.6
"01/12/2017 00:55:00","EST","LONGIL",61762,1834.5
"01/12/2017 00:55:00","EST","MHK VL",61756,795.4
"01/12/2017 00:55:00","EST","MILLWD",61759,267.8
"01/12/2017 00:55:00","EST","N.Y.C.",61761,4749.4
"01/12/2017 00:55:00","EST","NORTH",61755,494.9
"01/12/2017 00:55:00","EST","WEST",61752,1478.3
"01/12/2017 01:00:00","EST","CAPITL",61757,1110.9
"01/12/2017 01:00:00","EST","CENTRL",61754,1597.1
"01/12/2017 01:00:00","EST","DUNWOD",61760,529.4
"01/12/2017 01:00:00","EST","GENESE",61753,915.3
"01/12/2017 01:00:00","EST","HUD VL",61758,866.9
"01/12/2017 01:00:00","EST","LONGIL",61762,1822.4
"01/12/2017 01:00:00","EST","MHK VL",61756,797.4
"01/12/2017 01:00:00","EST","MILLWD",61759,264.3
"01/12/2017 01:00:00","EST","N.Y.C.",61761,4730.7
"01/12/2017 01:00:00","EST","NORTH",61755,487.5
"01/12/2017 01:00:00","EST","WEST",61752,1472.4
"01/12/2017 01:05:00","EST","CAPITL",61757,1098.6
"01/12/2017 01:05:00","EST","CENTRL",61754,1571.5
"01/12/2017 01:05:00","EST","DUNWOD",61760,565.1
"01/12/2017 01:05:00","EST","GENESE",61753,922.2
"01/12/2017 01:05:00","EST","HUD VL",61758,882.4
"01/12/2017 01:05:00","EST","LONGIL",61762,1803.6
"01/12/2017 01:05:00","EST","MHK VL",61756,791.1
"01/12/2017 01:05:00","EST","MILLWD",61759,269.6
"01/12/2017 01:05:00","EST","N.Y.C.",61761,4714.4
"01/12/2017 01:05:00","EST","NORTH",61755,487.5
"01/12/2017 01:05:00","EST","WEST",61752,1476.2
"01/12/2017 01:10:00","EST","CAPITL",61757,1105.4
"01/12/2017 01:10:00","EST","CENTRL",61754,1576.9
"01/12/2017 01:10:00","EST","DUNWOD",61760,529.8
"01/12/2017 01:10:00","EST","GENESE",61753,917.2
"01/12/2017 01:10:00","EST","HUD VL",61758,888.4
"01/12/2017 01:10:00","EST","LONGIL",61762,1796.7
"01/12/2017 01:10:00","EST","MHK VL",61756,777.2
"01/12/2017 01:10:00","EST","MILLWD",61759,261.3
"01/12/2017 01:10:00","EST","N.Y.C.",61761,4672
"01/12/2017 01:10:00","EST","NORTH",61755,501.9
"01/12/2017 01:10:00","EST","WEST",61752,1447.5
"01/12/2017 01:15:00","EST","CAPITL",61757,1096
"01/12/2017 01:15:00","EST","CENTRL",61754,1529.5
"01/12/2017 01:15:00","EST","DUNWOD",61760,536
"01/12/2017 01:15:00","EST","GENESE",61753,908.2
"01/12/2017 01:15:00","EST","HUD VL",61758,873
"01/12/2017 01:15:00","EST","LONGIL",61762,1783
"01/12/2017 01:15:00","EST","MHK VL",61756,789.1
"01/12/2017 01:15:00","EST","MILLWD",61759,264.1
"01/12/2017 01:15:00","EST","N.Y.C.",61761,4668.5
"01/12/2017 01:15:00","EST","NORTH",61755,492.5
"01/12/2017 01:15:00","EST","WEST",61752,1467.2
"01/12/2017 01:20:00","EST","CAPITL",61757,1092.9
"01/12/2017 01:20:00","EST","CENTRL",61754,1545.9
"01/12/2017 01:20:00","EST","DUNWOD",61760,520.9
"01/12/2017 01:20:00","EST","GENESE",61753,893.7
"01/12/2017 01:20:00","EST","HUD VL",61758,875.7
"01/12/2017 01:20:00","EST","LONGIL",61762,1785.9
"01/12/2017 01:20:00","EST","MHK VL",61756,784.2
"01/12/2017 01:20:00","EST","MILLWD",61759,262.1
"01/12/2017 01:20:00","EST","N.Y.C.",61761,4650.4
"01/12/2017 01:20:00","EST","NORTH",61755,488.1
"01/12/2017 01:20:00","EST","WEST",61752,1477.8
"01/12/2017 01:25:00","EST","CAPITL",61757,1082.2
"01/12/2017 01:25:00","EST","CENTRL",61754,1559.3
"01/12/2017 01:25:00","EST","DUNWOD",61760,521.3
"01/12/2017 01:25:00","EST","GENESE",61753,899.9
"01/12/2017 01:25:00","EST","HUD VL",61758,876.1
"01/12/2017 01:25:00","EST","LONGIL",61762,1780
"01/12/2017 01:25:00","EST","MHK VL",61756,780.6
"01/12/2017 01:25:00","EST","MILLWD",61759,254.7
"01/12/2017 01:25:00","EST","N.Y.C.",61761,4618.4
"01/12/2017 01:25:00","EST","NORTH",61755,489.6
"01/12/2017 01:25:00","EST","WEST",61752,1460.5
"01/12/2017 01:30:00","EST","CAPITL",61757,1080
"01/12/2017 01:30:00","EST","CENTRL",61754,1540.2
"01/12/2017 01:30:00","EST","DUNWOD",61760,547.7
"01/12/2017 01:30:00","EST","GENESE",61753,903.9
"01/12/2017 01:30:00","EST","HUD VL",61758,862.1
"01/12/2017 01:30:00","EST","LONGIL",61762,1772.6
"01/12/2017 01:30:00","EST","MHK VL",61756,775.2
"01/12/2017 01:30:00","EST","MILLWD",61759,252.7
"01/12/2017 01:30:00","EST","N.Y.C.",61761,4597.9
"01/12/2017 01:30:00","EST","NORTH",61755,495.8
"01/12/2017 01:30:00","EST","WEST",61752,1450.3
"01/12/2017 01:35:00","EST","CAPITL",61757,1084
"01/12/2017 01:35:00","EST","CENTRL",61754,1565.6
"01/12/2017 01:35:00","EST","DUNWOD",61760,524.5
"01/12/2017 01:35:00","EST","GENESE",61753,897.5
"01/12/2017 01:35:00","EST","HUD VL",61758,882.1
"01/12/2017 01:35:00","EST","LONGIL",61762,1757.8
"01/12/2017 01:35:00","EST","MHK VL",61756,765.2
"01/12/2017 01:35:00","EST","MILLWD",61759,253
"01/12/2017 01:35:00","EST","N.Y.C.",61761,4607.8
"01/12/2017 01:35:00","EST","NORTH",61755,487.7
"01/12/2017 01:35:00","EST","WEST",61752,1426.6
"01/12/2017 01:40:00","EST","CAPITL",61757,1097
"01/12/2017 01:40:00","EST","CENTRL",61754,1559.8
"01/12/2017 01:40:00","EST","DUNWOD",61760,517.9
"01/12/2017 01:40:00","EST","GENESE",61753,900.6
"01/12/2017 01:40:00","EST","HUD VL",61758,877.2
"01/12/2017 01:40:00","EST","LONGIL",61762,1755.9
