"Time Stamp","Time Zone","Name","PTID","Load"
"12/14/2017 00:00:00","EST","CAPITL",61757,1386.6
"12/14/2017 00:00:00","EST","CENTRL",61754,1930.6
"12/14/2017 00:00:00","EST","DUNWOD",61760,628.7
"12/14/2017 00:00:00","EST","GENESE",61753,1116.3
"12/14/2017 00:00:00","EST","HUD VL",61758,1130.9
"12/14/2017 00:00:00","EST","LONGIL",61762,2220.5
"12/14/2017 00:00:00","EST","MHK VL",61756,965.3
"12/14/2017 00:00:00","EST","MILLWD",61759,337.8
"12/14/2017 00:00:00","EST","N.Y.C.",61761,5490.5
"12/14/2017 00:00:00","EST","NORTH",61755,633.5
"12/14/2017 00:00:00","EST","WEST",61752,1816.3
"12/14/2017 00:05:00","EST","CAPITL",61757,1368.4
"12/14/2017 00:05:00","EST","CENTRL",61754,1954.8
"12/14/2017 00:05:00","EST","DUNWOD",61760,627.2
"12/14/2017 00:05:00","EST","GENESE",61753,1111.4
"12/14/2017 00:05:00","EST","HUD VL",61758,1116.9
"12/14/2017 00:05:00","EST","LONGIL",61762,2235.2
"12/14/2017 00:05:00","EST","MHK VL",61756,953.6
"12/14/2017 00:05:00","EST","MILLWD",61759,327.9
"12/14/2017 00:05:00","EST","N.Y.C.",61761,5471.2
"12/14/2017 00:05:00","EST","NORTH",61755,642.6
"12/14/2017 00:05:00","EST","WEST",61752,1788.4
"12/14/2017 00:10:00","EST","CAPITL",61757,1356.9
"12/14/2017 00:10:00","EST","CENTRL",61754,1956.1
"12/14/2017 00:10:00","EST","DUNWOD",61760,612.5
"12/14/2017 00:10:00","EST","GENESE",61753,1115.6
"12/14/2017 00:10:00","EST","HUD VL",61758,1122.5
"12/14/2017 00:10:00","EST","LONGIL",61762,2187.8
"12/14/2017 00:10:00","EST","MHK VL",61756,950.3
"12/14/2017 00:10:00","EST","MILLWD",61759,339.9
"12/14/2017 00:10:00","EST","N.Y.C.",61761,5415.4
"12/14/2017 00:10:00","EST","NORTH",61755,650.4
"12/14/2017 00:10:00","EST","WEST",61752,1791.5
"12/14/2017 00:13:51","EST","CAPITL",61757,1360.9
