"Time Stamp","Time Zone","Name","PTID","Load"
"10/09/2019 00:00:00","EDT","CAPITL",61757,1052.9
"10/09/2019 00:00:00","EDT","CENTRL",61754,1420.2
"10/09/2019 00:00:00","EDT","DUNWOD",61760,522.5
"10/09/2019 00:00:00","EDT","GENESE",61753,898.4
"10/09/2019 00:00:00","EDT","HUD VL",61758,858.3
"10/09/2019 00:00:00","EDT","LONGIL",61762,1755
"10/09/2019 00:00:00","EDT","MHK VL",61756,652.6
"10/09/2019 00:00:00","EDT","MILLWD",61759,211.5
"10/09/2019 00:00:00","EDT","N.Y.C.",61761,4543.7
"10/09/2019 00:00:00","EDT","NORTH",61755,452.9
"10/09/2019 00:00:00","EDT","WEST",61752,1423.5
"10/09/2019 00:05:00","EDT","CAPITL",61757,1047.4
"10/09/2019 00:05:00","EDT","CENTRL",61754,1421.2
"10/09/2019 00:05:00","EDT","DUNWOD",61760,503.3
"10/09/2019 00:05:00","EDT","GENESE",61753,880.5
"10/09/2019 00:05:00","EDT","HUD VL",61758,854.4
"10/09/2019 00:05:00","EDT","LONGIL",61762,1719.1
"10/09/2019 00:05:00","EDT","MHK VL",61756,645.9
"10/09/2019 00:05:00","EDT","MILLWD",61759,222.9
"10/09/2019 00:05:00","EDT","N.Y.C.",61761,4506.7
"10/09/2019 00:05:00","EDT","NORTH",61755,453.4
"10/09/2019 00:05:00","EDT","WEST",61752,1423.8
"10/09/2019 00:10:00","EDT","CAPITL",61757,1041.6
"10/09/2019 00:10:00","EDT","CENTRL",61754,1399.9
"10/09/2019 00:10:00","EDT","DUNWOD",61760,505.6
"10/09/2019 00:10:00","EDT","GENESE",61753,874
"10/09/2019 00:10:00","EDT","HUD VL",61758,795.9
"10/09/2019 00:10:00","EDT","LONGIL",61762,1726.8
"10/09/2019 00:10:00","EDT","MHK VL",61756,646.8
"10/09/2019 00:10:00","EDT","MILLWD",61759,234.8
"10/09/2019 00:10:00","EDT","N.Y.C.",61761,4446
"10/09/2019 00:10:00","EDT","NORTH",61755,479.6
"10/09/2019 00:10:00","EDT","WEST",61752,1400.9
"10/09/2019 00:15:00","EDT","CAPITL",61757,1053.5
"10/09/2019 00:15:00","EDT","CENTRL",61754,1416.8
"10/09/2019 00:15:00","EDT","DUNWOD",61760,495.2
"10/09/2019 00:15:00","EDT","GENESE",61753,865.2
"10/09/2019 00:15:00","EDT","HUD VL",61758,824
"10/09/2019 00:15:00","EDT","LONGIL",61762,1700.4
"10/09/2019 00:15:00","EDT","MHK VL",61756,645.2
"10/09/2019 00:15:00","EDT","MILLWD",61759,229.7
"10/09/2019 00:15:00","EDT","N.Y.C.",61761,4445.8
"10/09/2019 00:15:00","EDT","NORTH",61755,481.9
"10/09/2019 00:15:00","EDT","WEST",61752,1387.3
"10/09/2019 00:20:00","EDT","CAPITL",61757,1043.4
"10/09/2019 00:20:00","EDT","CENTRL",61754,1402.3
"10/09/2019 00:20:00","EDT","DUNWOD",61760,500.7
"10/09/2019 00:20:00","EDT","GENESE",61753,870
"10/09/2019 00:20:00","EDT","HUD VL",61758,806.7
"10/09/2019 00:20:00","EDT","LONGIL",61762,1689.8
"10/09/2019 00:20:00","EDT","MHK VL",61756,644.5
"10/09/2019 00:20:00","EDT","MILLWD",61759,212.7
"10/09/2019 00:20:00","EDT","N.Y.C.",61761,4435.7
"10/09/2019 00:20:00","EDT","NORTH",61755,457.7
"10/09/2019 00:20:00","EDT","WEST",61752,1394
"10/09/2019 00:25:00","EDT","CAPITL",61757,1046.7
"10/09/2019 00:25:00","EDT","CENTRL",61754,1397.3
"10/09/2019 00:25:00","EDT","DUNWOD",61760,481.4
"10/09/2019 00:25:00","EDT","GENESE",61753,864.9
"10/09/2019 00:25:00","EDT","HUD VL",61758,827.3
"10/09/2019 00:25:00","EDT","LONGIL",61762,1700.1
"10/09/2019 00:25:00","EDT","MHK VL",61756,649.4
"10/09/2019 00:25:00","EDT","MILLWD",61759,224.8
"10/09/2019 00:25:00","EDT","N.Y.C.",61761,4417.7
"10/09/2019 00:25:00","EDT","NORTH",61755,453.5
"10/09/2019 00:25:00","EDT","WEST",61752,1369.9
"10/09/2019 00:30:00","EDT","CAPITL",61757,1038.4
"10/09/2019 00:30:00","EDT","CENTRL",61754,1387.1
"10/09/2019 00:30:00","EDT","DUNWOD",61760,494.6
"10/09/2019 00:30:00","EDT","GENESE",61753,862.1
"10/09/2019 00:30:00","EDT","HUD VL",61758,808.1
"10/09/2019 00:30:00","EDT","LONGIL",61762,1685.7
"10/09/2019 00:30:00","EDT","MHK VL",61756,646.6
"10/09/2019 00:30:00","EDT","MILLWD",61759,225.4
"10/09/2019 00:30:00","EDT","N.Y.C.",61761,4372.2
"10/09/2019 00:30:00","EDT","NORTH",61755,453.6
"10/09/2019 00:30:00","EDT","WEST",61752,1383
"10/09/2019 00:35:00","EDT","CAPITL",61757,1029.9
"10/09/2019 00:35:00","EDT","CENTRL",61754,1418.8
"10/09/2019 00:35:00","EDT","DUNWOD",61760,486.3
"10/09/2019 00:35:00","EDT","GENESE",61753,864.7
"10/09/2019 00:35:00","EDT","HUD VL",61758,795.4
"10/09/2019 00:35:00","EDT","LONGIL",61762,1681.9
"10/09/2019 00:35:00","EDT","MHK VL",61756,643.4
"10/09/2019 00:35:00","EDT","MILLWD",61759,242.4
"10/09/2019 00:35:00","EDT","N.Y.C.",61761,4352.7
"10/09/2019 00:35:00","EDT","NORTH",61755,446.1
"10/09/2019 00:35:00","EDT","WEST",61752,1370.4
"10/09/2019 00:40:00","EDT","CAPITL",61757,1031.1
"10/09/2019 00:40:00","EDT","CENTRL",61754,1420.9
"10/09/2019 00:40:00","EDT","DUNWOD",61760,490.5
"10/09/2019 00:40:00","EDT","GENESE",61753,862.5
"10/09/2019 00:40:00","EDT","HUD VL",61758,781.8
"10/09/2019 00:40:00","EDT","LONGIL",61762,1669.2
"10/09/2019 00:40:00","EDT","MHK VL",61756,644
"10/09/2019 00:40:00","EDT","MILLWD",61759,223.2
"10/09/2019 00:40:00","EDT","N.Y.C.",61761,4327
"10/09/2019 00:40:00","EDT","NORTH",61755,451
"10/09/2019 00:40:00","EDT","WEST",61752,1357.6
"10/09/2019 00:45:00","EDT","CAPITL",61757,1043.2
"10/09/2019 00:45:00","EDT","CENTRL",61754,1364.5
"10/09/2019 00:45:00","EDT","DUNWOD",61760,478.7
"10/09/2019 00:45:00","EDT","GENESE",61753,863.2
"10/09/2019 00:45:00","EDT","HUD VL",61758,796.6
"10/09/2019 00:45:00","EDT","LONGIL",61762,1647.8
"10/09/2019 00:45:00","EDT","MHK VL",61756,648.5
"10/09/2019 00:45:00","EDT","MILLWD",61759,220.7
"10/09/2019 00:45:00","EDT","N.Y.C.",61761,4322.8
"10/09/2019 00:45:00","EDT","NORTH",61755,447.9
"10/09/2019 00:45:00","EDT","WEST",61752,1380
"10/09/2019 00:50:00","EDT","CAPITL",61757,1038.7
"10/09/2019 00:50:00","EDT","CENTRL",61754,1360.7
"10/09/2019 00:50:00","EDT","DUNWOD",61760,470.8
"10/09/2019 00:50:00","EDT","GENESE",61753,851.6
"10/09/2019 00:50:00","EDT","HUD VL",61758,777
"10/09/2019 00:50:00","EDT","LONGIL",61762,1646.2
"10/09/2019 00:50:00","EDT","MHK VL",61756,642.8
"10/09/2019 00:50:00","EDT","MILLWD",61759,224.7
"10/09/2019 00:50:00","EDT","N.Y.C.",61761,4288.8
"10/09/2019 00:50:00","EDT","NORTH",61755,441.7
"10/09/2019 00:50:00","EDT","WEST",61752,1363.9
"10/09/2019 00:55:00","EDT","CAPITL",61757,1027
"10/09/2019 00:55:00","EDT","CENTRL",61754,1375.1
"10/09/2019 00:55:00","EDT","DUNWOD",61760,485.3
"10/09/2019 00:55:00","EDT","GENESE",61753,846.7
"10/09/2019 00:55:00","EDT","HUD VL",61758,802.3
"10/09/2019 00:55:00","EDT","LONGIL",61762,1648.7
"10/09/2019 00:55:00","EDT","MHK VL",61756,643.2
"10/09/2019 00:55:00","EDT","MILLWD",61759,225.3
"10/09/2019 00:55:00","EDT","N.Y.C.",61761,4278.6
"10/09/2019 00:55:00","EDT","NORTH",61755,445.6
"10/09/2019 00:55:00","EDT","WEST",61752,1380.4
"10/09/2019 01:00:00","EDT","CAPITL",61757,1028.6
"10/09/2019 01:00:00","EDT","CENTRL",61754,1391.5
"10/09/2019 01:00:00","EDT","DUNWOD",61760,474
"10/09/2019 01:00:00","EDT","GENESE",61753,844.5
"10/09/2019 01:00:00","EDT","HUD VL",61758,773.2
"10/09/2019 01:00:00","EDT","LONGIL",61762,1643
"10/09/2019 01:00:00","EDT","MHK VL",61756,633.1
"10/09/2019 01:00:00","EDT","MILLWD",61759,223.2
"10/09/2019 01:00:00","EDT","N.Y.C.",61761,4276.7
"10/09/2019 01:00:00","EDT","NORTH",61755,454.4
"10/09/2019 01:00:00","EDT","WEST",61752,1363.9
"10/09/2019 01:05:00","EDT","CAPITL",61757,1033.2
"10/09/2019 01:05:00","EDT","CENTRL",61754,1392
"10/09/2019 01:05:00","EDT","DUNWOD",61760,456.9
"10/09/2019 01:05:00","EDT","GENESE",61753,844.4
"10/09/2019 01:05:00","EDT","HUD VL",61758,800
"10/09/2019 01:05:00","EDT","LONGIL",61762,1639
"10/09/2019 01:05:00","EDT","MHK VL",61756,635.3
"10/09/2019 01:05:00","EDT","MILLWD",61759,218.4
"10/09/2019 01:05:00","EDT","N.Y.C.",61761,4258
"10/09/2019 01:05:00","EDT","NORTH",61755,445.2
"10/09/2019 01:05:00","EDT","WEST",61752,1373.3
"10/09/2019 01:10:00","EDT","CAPITL",61757,1032.1
